id,name,rating,reviews,address,website,phone,search_term
SponsoredFirstMedClinicHBuildingAViaGiovanniBattistaMorgagniOpenssoonamEczemaTreatmentMostEffectiveMedicalTreatmentforeczemaAcnehairlossmolemappingskininfectionVisitSite,FirstMed,4.9,210,"
Via Giovanni Battista Morgagni, 30 / H Building A/2nd floor, 00161 Roma RM, Italy",https://www.firstmedcenters.it/home,+390640061402,Beauty clinics in Rome
VellutoBeautyLabBeautysalonViadellAmbaAradamClosedOpensamAminadidagreatjobonmydaughtershairexactlywhatshewantedBOOKONLINE,Velluto Beauty Lab,4.8,191,"
Via dell'Amba Aradam, 27, 00184 Roma RM, Italy",https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTY1MjIzODgyMzA2OTM3?story_media_id=3113249845004165657&igshid=MzRlODBiNWFlZA==,+393331898962,Beauty clinics in Rome
BeautySpecialistBeautysalonViaSSilverioClosedOpensamBOOKONLINE,Beauty Specialist,4.9,54,"
Via S. Silverio, 27, 00165 Roma RM, Italy",,+390639388553,Beauty clinics in Rome
BeautyManagementMedicalInstituteSkincareclinicViaFrattinaClosedOpensamSheknewexactlywhatwasneededwithoutmehavingtoexplain,Beauty Management Medical Institute,4.9,13,"
Via Frattina, 48, 00187 Roma RM, Italy",http://www.beautymanagement.it/,+39066792389,Beauty clinics in Rome
NaturalBeautyClinicBeautysalonViaMagnagreciaaClosedOpensamThetreatmentwasalmostpainlessandIwouldrecommendthistoeveryoneBOOKONLINE,Natural Beauty Clinic,5.0,40,"
Via Magnagrecia, 30a, 00182 Roma RM, Italy",http://naturalbeautyclinic.webnode.it/,+393407384829,Beauty clinics in Rome
BeautyClinicBeautysalonViaDonatoMenichellaClosedOpensamBOOKONLINE,Natural Beauty Clinic,5.0,40,"
Via Magnagrecia, 30a, 00182 Roma RM, Italy",http://naturalbeautyclinic.webnode.it/,+393407384829,Beauty clinics in Rome
ClinicBeautyStoreBeautysalonVleGiuseppeMazziniOpenClosespm,Clinic Beauty Store,3.9,17,"
V.le Giuseppe Mazzini, 114, 00195 Roma RM, Italy",,+390683658176,Beauty clinics in Rome
CLYNICRomaSanGiovanniMedicalclinicViaVeioBClosedOpensam,CLYNIC Roma San Giovanni,4.3,35,"
Via Veio, 52B, 00183 Roma RM, Italy",http://www.clynic.it/,+390645497040,Beauty clinics in Rome
CentrodiEsteticaAvanzataHelloBeautyRomaBeautysalonViadiRipettaClosedOpensamIleftfeelinglikeabrandnewpersonwithgorgeousliftedlashesBOOKONLINE,Centro di Estetica Avanzata Hello Beauty Roma,4.7,208,"
Via di Ripetta, 34, 00186 Roma RM, Italy",http://hellobeautyroma.it/,+390683977187,Beauty clinics in Rome
BeautyCenterPratiCentroesteticoRomaBeautysalonViaEnnioQuirinoViscontiClosedOpensamFulllegwaxtotallypainlessandnospotsmissed,Beauty Center Prati - Centro estetico Roma,4.9,95,"
Via Ennio Quirino Visconti, 16, 00193 Roma RM, Italy",https://www.beautycenterprati.com/,+39063216506,Beauty clinics in Rome
LuciaPlanamenteFacialistFacialspaViaAngeloBrofferioClosedOpensamMyskinlooksandfeelsbetterandIwillcertainlyreturn,Beauty Center Prati - Centro estetico Roma,4.9,95,"
Via Ennio Quirino Visconti, 16, 00193 Roma RM, Italy",https://www.beautycenterprati.com/,+39063216506,Beauty clinics in Rome
SetaBeautyClinicRomaPratiLaserhairremovalserviceViadeiGracchiClosedOpensam,Seta Beauty Clinic Roma Prati,4.9,82,"
Via dei Gracchi, 25, 00192 Roma RM, Italy",https://setabeauty.com/,+393756704118,Beauty clinics in Rome
LaBeautèRheaSkinLabExperienceBeautysalonViaLucrezioCaroClosedOpensam,La Beautè Rhea Skin Lab Experience,5.0,46,"
Via Lucrezio Caro, 23, 00193 Roma RM, Italy",,+390632600199,Beauty clinics in Rome
AltaCareBeautysalonPiazzadiSpagnaClosedOpensamCalmingspaciousultraluxe,Alta Care,4.9,35,"
Piazza di Spagna, 6, 00187 Roma RM, Italy",http://www.altacarebeautyspa.com/,+390669380852,Beauty clinics in Rome
