id,name,rating,reviews,address,website,phone,search_term
SponsoredCrocettaOdontoiatriaSpecialisticaInvisalignMilanoDentistLargodellaCrocettaClosedOpensamWebsiteDirectionsDentistofMilanoControllalerecensioniFaccetteinCeramicaPagamentiPersonalizzatieFinanziamentiVisitSite,Crocetta Odontoiatria Specialistica - Invisalign Milano,4.8,75,"
Largo della Crocetta, 1, 20122 Milano MI, Italy",http://www.clinicacrocetta.it/,+390259901092,Dentists in milan
ADCDENTALCARECONTINUELtdDentistViaSperonariClosedOpensamWebsiteDirectionsIcalledandtheywereabletosqueezemeinandfixedmyretainer,ADC - DENTAL CARE CONTINUE Ltd.,4.7,696,"
Via Speronari, 6, 20123 Milano MI, Italy",https://www.adcdentalcenter.it/,+3902863624,Dentists in milan
StudioDentisticoSanGottardoDentistaaMilanoDentistCorsoSGottardoClosedOpensamWebsiteDirectionsThestaffarefantasticandveryskilled,Studio Dentistico San Gottardo - Dentista a Milano,4.9,445,"
Corso S. Gottardo, 42, 20136 Milano MI, Italy",https://www.studiosangottardo.it/,+39028323344,Dentists in milan
DENSStudioDentisticoMilanoGiornateImpiantidentaliMilanoDentistViaFontanaClosedOpensamWebsiteDirectionsDrLucawasincrediblykindquickandprofessional,DENS | Studio Dentistico Milano 5 Giornate - Impianti dentali Milano,4.9,183,"
Via Fontana, 25, 20122 Milano MI, Italy",https://www.dens-italia.it/dentista-a-milano-fontanta/,+390240703670,Dentists in milan
StudioDentisticoPassionSmileDrCarmeloMaidaDentistVialeLombardiaClosedOpensamWebsiteDirectionsProfessionalstaffmodernclinicandoutstandingcare,Studio Dentistico Passion Smile/Dr. Carmelo Maida,5.0,360,"
Viale Lombardia, 15, 20131 Milano MI, Italy",https://www.passionsmile.it/,+390249480450,Dentists in milan
StudioBormidaDentistaMilanoDentistPiazzaleMarengoClosedOpensamWebsiteDirectionsStaffSuperprofessional,Studio Bormida | Dentista Milano,4.9,285,"
Piazzale Marengo, 8, 20121 Milano MI, Italy",http://studiobormida.it/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness,+3902876122,Dentists in milan
CrystalDENTCentriOdontoiatricidiventaMADALINEADentistViaCarloMarochettiClosedOpensamWebsiteDirectionsTheyrespectpatients,CrystalDENT Centri Odontoiatrici diventa MADALINEA,4.9,254,"
Via Carlo Marochetti, 27, 20139 Milano MI, Italy",http://www.crystaldent.it/,+390236745062,Dentists in milan
StudioDentisticoWhiteSmileMilanoDentistViaFrancescoRediClosedOpensamWebsiteDirectionsADentistwholistensisthoroughanddoesntrushyououtoftheroom,CrystalDENT Centri Odontoiatrici diventa MADALINEA,4.9,254,"
Via Carlo Marochetti, 27, 20139 Milano MI, Italy",http://www.crystaldent.it/,+390236745062,Dentists in milan
ADECDentistaDentistViaEdmondodeAmicisClosedOpensamWebsiteDirectionsHadanemergencyteethcrackandtheyfixedmeupthenextday,ADEC Dentista,4.7,440,"
Via Edmondo de Amicis, 28, 20123 Milano MI, Italy",http://www.adec.it/,+390240702111,Dentists in milan
ImpressOrthodontistViaBenedettoMarcelloClosedOpensamWebsiteDirectionsPerfectresultandgreatservice,Impress,4.6,717,"
Via Benedetto Marcello, 91, 20124 Milano MI, Italy",https://smile2impress.com/it?utm_medium=gmb&utm_source=milano&utm_campaign=gmb-milano,+390694801010,Dentists in milan
DentalhoursGassemFarhangDentistMilanDentistViaMecenateClosedOpensamWebsiteDirectionsHeexplainedallthestepstomeandgotmyapprovalbeforedoingeachstep,Dental 24 hours Gassem Farhang - Dentist Milan,4.7,286,"
Via Mecenate, 32, 20138 Milano MI, Italy",http://www.dentista24h.it/,+39025061367,Dentists in milan
BludentalMilanoViaParenzoDentistViaPrivataParenzoClosedOpensamWebsiteDirectionsThebestofthebestBOOKONLINE,Bludental - Milano Via Parenzo,4.8,354,"
Via Privata Parenzo, 2, 20143 Milano MI, Italy",https://bludental.it/centri-bludental/milano-via-parenzo/,+390249760062,Dentists in milan
InternationalHealthCenterDentistViaGiuseppeMazziniClosedOpensamWebsiteDirections,International Health Center,4.2,20,"
Via Giuseppe Mazzini, 12, 20123 Milano MI, Italy",http://www.ihc.it/,+390276340720,Dentists in milan
CrocettaOdontoiatriaSpecialisticaInvisalignMilanoDentistLargodellaCrocettaClosedOpensamWebsiteDirectionsSosatisfiedbyqualityofservicesstaffprofessionalism,Crocetta Odontoiatria Specialistica - Invisalign Milano,4.8,75,"
Largo della Crocetta, 1, 20122 Milano MI, Italy",http://www.clinicacrocetta.it/,+390259901092,Dentists in milan
DrRIZZAAntonioMilanDentalClinicCosmeticdentistViaPierCandidoDecembrioClosedOpensamWebsiteDirectionsOnsiteservices,Dr.RIZZA Antonio - Milan Dental Clinic,4.8,216,"
Via Pier Candido Decembrio, 19, 20137 Milano MI, Italy",http://dentistamilanorizza.it/,+390255186639,Dentists in milan
DENSMilanoStudioDentisticoMilanoDentistViaMelchiorreGioiaClosedOpensamWebsiteDirections,Dr.RIZZA Antonio - Milan Dental Clinic,4.8,216,"
Via Pier Candido Decembrio, 19, 20137 Milano MI, Italy",http://dentistamilanorizza.it/,+390255186639,Dentists in milan
DentalStudioInvernizziDentistViaGaetanoDonizettiClosedOpensamWebsiteDirections,Dental Studio Invernizzi,5.0,80,"
Via Gaetano Donizetti, 26, 20122 Milano MI, Italy",https://www.dentalstudioinvernizzi.it/,+390276005778,Dentists in milan
DrLeonardoBianconiInvisalignesbiancamentoaMilanoOrthodontistViaGiuseppeMarcoraClosedOpensamWebsiteDirectionsThisisthebestdentalserviceIhavetriedinMilan,Dr. Leonardo Bianconi - Invisalign e sbiancamento a Milano,5.0,64,"
Via Giuseppe Marcora, 11, 20121 Milano MI, Italy",https://www.drleonardobianconi.com/,+393514378388,Dentists in milan
StudioDentisticoADCAREAdvancedDentalCareDentistViaGiuseppeMazziniClosedOpensamWebsiteDirectionsTheysawmesamedayandtreatedtheproblembyremovingthetooth,Studio Dentistico AD CARE - Advanced Dental Care,4.9,355,"
Via Giuseppe Mazzini, 12, 20123 Milano MI, Italy",http://ad-care.it/,+390280011069,Dentists in milan
BludentalMilanoPiazzaCastelliDentistPzaPompeoCastelliClosedOpensamWebsiteDirectionsGraziemilleBOOKONLINE,Bludental - Milano Piazza Castelli,4.9,256,"
P.za Pompeo Castelli, 12, 20156 Milano MI, Italy",https://bludental.it/centri-bludental/milano-piazza-castelli/,+390247769770,Dentists in milan
BludentalMilanoVialeBrianzaDentistVialeBrianzaClosedOpensamWebsiteDirectionsBOOKONLINE,Bludental - Milano Piazza Castelli,4.9,256,"
P.za Pompeo Castelli, 12, 20156 Milano MI, Italy",https://bludental.it/centri-bludental/milano-piazza-castelli/,+390247769770,Dentists in milan
SponsoredCrocettaOdontoiatriaSpecialisticaInvisalignMilanoDentistLargodellaCrocettaClosedOpensamWebsiteDirectionsReviewsInvisalignDigitalOrthodonticSimulationyearsofexperienceVisitwithoutchargeVisitSite,Crocetta Odontoiatria Specialistica - Invisalign Milano,4.8,75,"
Largo della Crocetta, 1, 20122 Milano MI, Italy",http://www.clinicacrocetta.it/,+390259901092,Dentists in milan
BDDDentalDentistAlzaiaNaviglioGrandeClosedOpensamWebsiteDirectionsReallygoodcare,BDD Dental,4.7,38,"
Alzaia Naviglio Grande, 38, 20144 Milano MI, Italy",http://www.bddstudiodentistico.it/,+390258105229,Dentists in milan
DentalSmileClinicSrlDentistViaBolzanoaClosedOpensamWebsiteDirections,Dental Smile Clinic S.r.l.,5.0,43,"
Via Bolzano, 29/a, 20127 Milano MI, Italy",http://www.dentalsmileclinic.it/,+390226145657,Dentists in milan
StudioDentisticoDentitDentistaaMilanoDentistViaMarioPaganoClosedOpensamWebsiteDirectionsVeryefficientprocesstogivefeedbackbeforeIstartmytreatment,Studio Dentistico Dentit - Dentista a Milano,5.0,144,"
Via Mario Pagano, 42, 20145 Milano MI, Italy",https://dentit.cloud/,+393497030340,Dentists in milan
HospitadellaMilanoDentistViaSPietroAllOrtoClosedOpensamWebsiteDirections,Hospitadella Milano,5.0,36,"
Via S. Pietro All'Orto, 9, 20121 Milano MI, Italy",http://www.hospitadella.it/,+390276005413,Dentists in milan
DentalProMilanoPortaVeneziaDentistPiazzaOttoNovembreClosedOpensamWebsiteDirections,DentalPro Milano Porta Venezia,4.1,57,"
Piazza Otto Novembre, 6, 20129 Milano MI, Italy",https://www.dentalpro.it/centri/dentista-milano-piazza-8-novembre/,+390289057082,Dentists in milan
