id,name,rating,reviews,address,website,phone,search_term
HealthySmileinRomeDentistPiazzaSalernoWebsiteDirectionsIttookafewhoursbutIleftwithafulltoothandmyconfidenceback,Healthy Smile in Rome,4.9,342,"
Piazza Salerno, 6, 00161 Roma RM, Italy",https://www.healthysmileinrome.com/,+390644291526,Dentists in rome
DentistaGiuseppeOrtusoDentistViaNapoliOpenhoursWebsiteDirectionsGreatdentistwithzeropainandpricedcorrectly,Dentista Giuseppe Ortuso,4.8,300,"
Via Napoli, 65, 00184 Roma RM, Italy",https://www.studiodentisticoortuso.it/,+39066798759,Dentists in rome
DentistaOrtodontistaRomaHAUTAOrthodontistCITOFONOStudioDentisticoVialeMarcoPoloClosedOpenspmWebsiteDirections,Dentista Ortodontista Roma - HAUTA,5.0,176,"
CITOFONO: Studio Dentistico, Viale Marco Polo, 88, 00154 Roma RM, Italy",http://www.ortodonziaroma.info/,+393347026602,Dentists in rome
AmericanDentalArtsRomeCosmeticdentistVdelGovernoVecchioClosedOpensamWebsiteDirectionstheytookcareofmerightawayanddidanamazingjob,American Dental Arts Rome,4.5,11,"
V. del Governo Vecchio, 73, 00186 Roma RM, Italy",https://www.adadentistsrome.com/,+39066832613,Dentists in rome
StudioDentisticoTrastevereDottLucaRoccatiCossuDentistViaLucianoManaraClosedOpensamWedWebsiteDirectionsProfessionaldentistcleanandmodernareaandveryhelpful,Studio Dentistico Trastevere Dott. Luca Roccati Cossu,4.9,58,"
Via Luciano Manara, 25, 00153 Roma RM, Italy",https://studiodentisticotrastevere.it/,+39065803558,Dentists in rome
BludentalTiburtinaDentistViaIreneImperatricedOrienteClosedOpensamWebsiteDirectionsExcellentserviceBOOKONLINE,Bludental - Tiburtina,4.9,577,"
Via Irene Imperatrice d'Oriente, 3, 00162 Roma RM, Italy",https://bludental.it/centri-bludental/centro-odontoiatrico-roma-tiburtina/,+390644234563,Dentists in rome
StudioDentisticoMAZZEIPARTNERSDentistaRomaDentistViaNapoleoneIIIPianoInternoClosedOpensamWebsiteDirectionsThestaffwaswelcomingandmydentistwasbothskilledandcaring,Studio Dentistico MAZZEI & PARTNERS - Dentista Roma,4.9,371,"
Via Napoleone III, 58/Piano 3, Interno 10, 00185 Roma RM, Italy",https://www.studimazzei.com/,+39064440656,Dentists in rome
StudioHruskaDentistViaGiosuèCarducciClosedOpensamWebsiteDirectionsProfessionalniceexplainedeverythingandstateoftheartequipment,Studio Hruska,5.0,13,"
Via Giosuè Carducci, 10, 00187 Roma RM, Italy",https://www.studiohruska.com/,+39064824459,Dentists in rome
WedentalCareDentistVialedegliAmmiragliClosedOpensamWebsiteDirectionsThankGodshewenttoWedentalCarebecauseshereceivedexcellentcare,Wedental Care,4.9,113,"
Viale degli Ammiragli, 9, 00136 Roma RM, Italy",https://www.wedentalcare.it/?utm_source=google&utm_medium=organic&utm_campaign=scheda_google_my_business_prati,+39800561006,Dentists in rome
DentistaRomaCentroStudioDentisticoMAZZEIPARTNERSDentistViaTorinoPianoInternoClosedOpensamWebsiteDirectionsGreatserviceprofessionalstaffandmyfatherstoothhasbeenhealed,Dentista Roma Centro - Studio Dentistico MAZZEI & PARTNERS,5.0,111,"
Via Torino, 29/Piano 1, Interno 4, 00184 Roma RM, Italy",https://www.studimazzei.com/,+390644236785,Dentists in rome
