id,name,rating,reviews,address,website,phone,search_term
DermatologistDrRobertoBenucciDermatologistViaCarloPomaScalaFIntPianorialzatoClosedOpensamWebsiteDirectionsHerecommendedanonsurgicaltreatmentthathassurpassedourexpectationsBOOKONLINE,Dermatologist Dr. Roberto Benucci,4.6,44,"
Via Carlo Poma 2, Scala F, Int 2, Piano rialzato, 00195 Roma RM, Italy",https://www.dermatologoroma.it/,+390620976238,Dermatologists in rome
DermatologaDrIvonaPatroiStudioDermatologicoeCentroLaserDermatologistViadelTritoneClosedOpensamWebsiteDirections,Dermatologa Dr Ivona Patroi Studio Dermatologico e Centro Laser,4.7,44,"
Via del Tritone, 102, 00187 Roma RM, Italy",http://www.dermatologaivonapatroi.it/,+390669940222,Dermatologists in rome
DottSalvatoreVolpeDermatologoeVenereologoDermatologistViadeiMontidiCretaClosedOpenspmWebsiteDirectionsExcellentrelationshipwithpatientsthpatients,Dott. Salvatore Volpe - Dermatologo e Venereologo,4.9,97,"
Via dei Monti di Creta, 104, 00167 Roma RM, Italy",http://www.salvatorevolpe.it/,+393516461706,Dermatologists in rome
DoctorsinItalyDermatologistViaFrattinaClosedOpensamWebsiteDirectionsTheDrwaskindknowledgeableandwasabletodiagnosefromtheinfogiven,Doctors in Italy,4.9,1235,"
Via Frattina, 48, 00187 Roma RM, Italy",https://www.doctorsinitaly.com/rome/?utm_source=google&utm_medium=gbp&utm_campaign=rm1a,+39066790695,Dermatologists in rome
StudioDermatologicoMuscianeseDermatologistViaOttavianoClosedOpensamDirections,Studio Dermatologico Muscianese,5.0,19,"
Via Ottaviano, 32, 00192 Roma RM, Italy",,+393273091072,Dermatologists in rome
DermatologiaGiovannalombardiDermatologistViaFrancescoSivoriClosedOpensamDirections,Dermatologia Giovanna lombardi,4.9,10,"
Via Francesco Sivori, 48, 00136 Roma RM, Italy",,+39337725371,Dermatologists in rome
DottssaGiuliaSpalloneMedicinaesteticaDermatologiaDermatologistVialedellArteClosedOpenspmWedWebsiteDirectionsBOOKONLINE,Dott.ssa Giulia Spallone - Medicina estetica & Dermatologia,5.0,17,"
Viale dell'Arte, 66, 00144 Roma RM, Italy",https://www.miodottore.it/giulia-spallone/dermatologo-medico-estetico-venereologo/roma,+393332611657,Dermatologists in rome
StudioMedicoDrMatteoBassoDrEmanuelaDiLellaDermatologistViaMateraClosedOpensamWedWebsiteDirections,Studio Medico Dr. Matteo Basso & Dr. Emanuela Di Lella,4.8,76,"
Via Matera, 1, 00182 Roma RM, Italy",http://www.dermatologiaestetica.com/,+393476507808,Dermatologists in rome
PANDERMACONCADORODOTTSSAANNAZAMPETTISTUDIODERMATOLOGICODermatologistViaValsesiaClosedOpensamWebsiteDirections,PANDERMA CONCA D'ORO DOTT.SSA ANNA ZAMPETTI STUDIO DERMATOLOGICO,4.8,72,"
Via Valsesia, 12, 00141 Roma RM, Italy",http://www.annazampetti.it/,+390686153901,Dermatologists in rome
SkinCancerCosmeticDermatologyCenterRomeDermatologistMedicalDrNEClosedOpensamTueWebsiteDirectionsDrSeymorewasgreatwithmysonandshegotridofthoseplantarwarts,Skin Cancer & Cosmetic Dermatology Center - Rome,4.9,486,"
10 Medical Dr NE, Rome, GA 30161, United States",https://www.thedermcenters.com/location-details/rome?utm_source=GMBSocialClimb&utm_medium=SkinCancer,+17063782235,Dermatologists in rome
