id,name,rating,reviews,address,website,phone,search_term
MedbenPhysiotherapyTecarterapiaRomePhysicaltherapyclinicViaCampaniaClosedOpensamWebsiteDirections,Medben Physiotherapy Tecarterapia Rome,5.0,226,"
Via Campania, 37, 00187 Roma RM, Italy",https://www.medben.it/,+3906899286,Physiotherapists in rome
TopPhysioRomaPhysicaltherapyclinicViaFrancescoSaverioNittiClosedOpensamWebsiteDirectionsGreatexperienceandtreatmentBOOKONLINE,Top Physio Roma,4.9,333,"
Via Francesco Saverio Nitti, 13, 00191 Roma RM, Italy",https://www.topphysioroma.it/,+390636773677,Physiotherapists in rome
CentroFisioterapiaRomaPhysicaltherapyclinicVAureliaClosedOpensamWebsiteDirections,Centro Fisioterapia Roma,4.9,496,"
V. Aurelia, 429, 00165 Roma RM, Italy",http://www.centrofisioterapiaroma.it/,+390666018356,Physiotherapists in rome
FisioPlusRomaTrasteverePhysicaltherapistVialediTrastevereClosedOpensamWebsiteDirectionssessionsdoneandmyanklefeelsbrandnew,FisioPlus Roma - Trastevere,4.9,164,"
Viale di Trastevere, 6, 00153 Roma RM, Italy",https://www.fisioplusroma.it/,+39065896082,Physiotherapists in rome
PhysioathleticMedicalCenterCentromedicoedifisioterapiaPhysicaltherapyclinicViaEmanueleFilibertoClosedOpensamWebsiteDirections,Physioathletic Medical Center - Centro medico e di fisioterapia,5.0,113,"
Via Emanuele Filiberto, 161, 00185 Roma RM, Italy",https://www.physioathletic-center.it/,+39067092196,Physiotherapists in rome
CervicaleeVertiginiFisioterapistaDrDanielDiSegniPhysicaltherapistViadeiLateraniClosedOpensamWebsiteDirectionsIhadroundedrightshoulderanditsfixedinsessions,Cervicale e Vertigini - Fisioterapista Dr. Daniel Di Segni,4.9,631,"
Via dei Laterani, 28, 00184 Roma RM, Italy",https://www.cervicalevertigini.it/,+393500599735,Physiotherapists in rome
MdmFisioterapiaRomaPhysicaltherapistPiazzaCostagutiClosedOpensamWebsiteDirectionstheygenuinelycaredaboutmyexperienceandmybackproblem,Mdm Fisioterapia Roma,4.9,400,"
Piazza Costaguti, 13, 00186 Roma RM, Italy",https://www.mdmfisioterapia.it/,+390668808629,Physiotherapists in rome
FisioPlusRomaPratiPhysicaltherapistViadiViaSanTommasodAquinoClosedOpensamWebsiteDirectionsTheymakeyoufeelathomewhilehelpingyoutodotheexercisescorrectly,FisioPlus Roma - Prati,5.0,233,"
Via di, Via San Tommaso d'Aquino, 116, 00136 Roma RM, Italy",http://www.fisioplusroma.it/,+390639745694,Physiotherapists in rome
FisioterapiaTopPhysioSanGiovanniPhysicaltherapyclinicViadellaStazioneTuscolanaClosedOpensamWebsiteDirectionsBOOKONLINE,Fisioterapia - Top Physio San Giovanni,4.9,120,"
Via della Stazione Tuscolana, 124, 00182 Roma RM, Italy",https://www.topphysioroma.it/,+390636773677,Physiotherapists in rome
OsteopathsandphysiotherapistsinRomePhysicaltherapistClosedOpensamDirections,Osteopaths and physiotherapists in Rome,4.9,16,,,+393488977681,Physiotherapists in rome
PhysioProFisioterapistaPiazzaBolognaPhysicaltherapistViaGiovanniMingazziniClosedOpensamWebsiteDirections,Physio Pro - Fisioterapista Piazza Bologna,5.0,145,"
Via Giovanni Mingazzini, 7, 00161 Roma RM, Italy",http://www.physiopro.it/,+393277080507,Physiotherapists in rome
PowerPhysioFisioterapiaPhysicaltherapistViaVittorioVenetoClosedOpensamWebsiteDirections,PowerPhysio - Fisioterapia,4.9,39,"
Via Vittorio Veneto, 108, 00187 Roma RM, Italy",https://powerphysio.it/,+393458769087,Physiotherapists in rome
StudiodifisioterapiaPhysioRomaEurMedicalofficeVialeAldoBallarinClosedOpensamWebsiteDirectionsFromnowonmygotoplaceforallphysiotherapyneeds,Studio di fisioterapia 'Physio Roma Eur',4.9,44,"
Viale Aldo Ballarin, 1, 00142 Roma RM, Italy",http://www.physioromaeur.it/,+390686127979,Physiotherapists in rome
