id,name,rating,reviews,address,website,phone,search_term,email
AmericanDentalArtsRomeCosmeticdentistVdelGovernoVecchioOpenClosespmWebsiteDirectionstheytookcareofmerightawayanddidanamazingjob,American Dental Arts Rome,4.5,11,"
V. del Governo Vecchio, 73, 00186 Roma RM, Italy",https://www.adadentistsrome.com/,+39066832613,Dentists in rome,
DentalImplantHouseDentistViaGiulioFrascheriOpenClosespmWebsiteDirectionsExceptionalCareatDentalImplantHouse,Dental Implant House,5.0,13,"
Via Giulio Frascheri, 79, 00188 Roma RM, Italy",https://www.dentalimplanthouse.it/,+393496209341,Dentists in rome,"2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com,460ff4620fa44cba8df530afde949785@sentry.wixpress.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com,8c4075d5481d476e945486754f783364@sentry.io,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,c183baa23371454f99f417f6616b724d@sentry.wixpress.com,dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com,dentalhouse.it@gmail.com,ed436f5053144538958ad06a5005e99a@sentry.wixpress.com,receptie@dentalhouse.md"
StudioHruskaDentistViaGiosuèCarducciClosessoonpmOpensamWedWebsiteDirectionsProfessionalniceexplainedeverythingandstateoftheartequipment,Studio Hruska,5.0,13,"
Via Giosuè Carducci, 10, 00187 Roma RM, Italy",https://www.studiohruska.com/,+39064824459,Dentists in rome,
CentroDentaleCorboaffiliatoRomaDentistViaIppolitoNievoOpenClosespmWebsiteDirections,Centro Dentale Corbo affiliato Roma,4.9,28,"
Via Ippolito Nievo, 12, 00153 Roma RM, Italy",https://www.centrodentalecorbo.it/,+393773094890,Dentists in rome,"clinicacorbo@gmail.com,info@centrodentalecorbo.it"
DentalClinicRomaDentistVialeOpitaOppioOpenClosespmWebsiteDirections,Dental Clinic Roma,4.4,14,"
Viale Opita Oppio, 17, 00174 Roma RM, Italy",http://www.clinicadentaleroma.com/,+393883945816,Dentists in rome,"denntalclinicroma@gmail.com,dentalclinicroma@gmail.com"
DentistaDottLorellaGobboCarrerDentistViaAostaOpenClosespmWebsiteDirectionsTheyreaveryprofessionalstudio,Dental Clinic Roma,4.4,14,"
Viale Opita Oppio, 17, 00174 Roma RM, Italy",http://www.clinicadentaleroma.com/,+393883945816,Dentists in rome,"denntalclinicroma@gmail.com,dentalclinicroma@gmail.com"
StudioDentisticoGiancasproZonaAventinoRomaDentistVialeAventinoOpenClosespmWebsiteDirections,Studio Dentistico Giancaspro - Zona Aventino Roma,4.9,30,"
Viale Aventino, 48, 00153 Roma RM, Italy",http://www.giancaspro.net/,+39065740768,Dentists in rome,info@giancaspro.net
StudioOdontoiatricoOlivieroPalermiDentistViaGabrieleCamozziOpenClosespmWebsiteDirections,Studio Dentistico Giancaspro - Zona Aventino Roma,4.9,30,"
Viale Aventino, 48, 00153 Roma RM, Italy",http://www.giancaspro.net/,+39065740768,Dentists in rome,info@giancaspro.net
AmbulatorioDentisticoDrGAlimontiDrssaSSantanielloDentistViaFlliViaFratelliPogginiOpenClosespmWebsiteDirections,Studio Dentistico Giancaspro - Zona Aventino Roma,4.9,30,"
Viale Aventino, 48, 00153 Roma RM, Italy",http://www.giancaspro.net/,+39065740768,Dentists in rome,info@giancaspro.net
StudioMarulloDiMarulloMariaNuriDentistViaImperiaOpenhoursWebsiteDirectionsTheatmosphereoftheclinicwasrelaxingcleanandtasteful,Studio Marullo Di Marullo Maria Nuri,5.0,13,"
Via Imperia, 1, 00161 Roma RM, Italy",https://www.healthysmileinrome.com/,+390644291526,Dentists in rome,info@healthysmileinrome.com
